ocel_id;ocel_type
place_o1;place order
pick_i3;pick item
pick_i2;pick item
pick_i1;pick item
ship_o1;ship order
place_o2;place order
pick_i6;pick item
pick_i5;pick item
pick_i4;pick item
pick_i7;pick item
ship_o2;ship order
place_o3;place order
pick_i8;pick item
pick_i10;pick item
pick_i9;pick item
pick_i13;pick item
pick_i11;pick item
pick_i12;pick item
ship_o3;ship order
place_o4;place order
pick_i14;pick item
pick_i15;pick item
ship_o4;ship order
place_o5;place order
pick_i16;pick item
pick_i18;pick item
pick_i17;pick item
ship_o5;ship order
place_o6;place order
pick_i20;pick item
pick_i19;pick item
pick_i21;pick item
ship_o6;ship order
place_o7;place order
pick_i24;pick item
pick_i22;pick item
pick_i23;pick item
ship_o7;ship order
place_o8;place order
pick_i27;pick item
pick_i25;pick item
pick_i26;pick item
ship_o8;ship order
place_o9;place order
pick_i28;pick item
pick_i29;pick item
ship_o9;ship order
place_o10;place order
pick_i31;pick item
pick_i32;pick item
pick_i30;pick item
ship_o10;ship order
place_o11;place order
pick_i33;pick item
pick_i34;pick item
ship_o11;ship order
place_o12;place order
pick_i35;pick item
pick_i36;pick item
ship_o12;ship order
place_o13;place order
pick_i38;pick item
pick_i37;pick item
ship_o13;ship order
place_o14;place order
pick_i40;pick item
pick_i39;pick item
place_o15;place order
ship_o14;ship order
pick_i42;pick item
pick_i43;pick item
pick_i41;pick item
ship_o15;ship order
place_o16;place order
pick_i45;pick item
pick_i44;pick item
pick_i46;pick item
pick_i47;pick item
ship_o16;ship order
place_o17;place order
pick_i48;pick item
ship_o17;ship order
place_o18;place order
pick_i49;pick item
pick_i50;pick item
ship_o18;ship order
place_o19;place order
pick_i51;pick item
pick_i52;pick item
ship_o19;ship order
place_o20;place order
pick_i54;pick item
pick_i53;pick item
pick_i55;pick item
ship_o20;ship order
place_o21;place order
pick_i57;pick item
pick_i56;pick item
ship_o21;ship order
place_o22;place order
pick_i59;pick item
pick_i58;pick item
pick_i61;pick item
pick_i60;pick item
ship_o22;ship order
place_o23;place order
pick_i64;pick item
pick_i62;pick item
pick_i63;pick item
ship_o23;ship order
place_o24;place order
pick_i66;pick item
pick_i65;pick item
pick_i67;pick item
place_o25;place order
ship_o24;ship order
pick_i68;pick item
pick_i69;pick item
pick_i70;pick item
pick_i71;pick item
ship_o25;ship order
place_o26;place order
pick_i73;pick item
pick_i74;pick item
pick_i75;pick item
pick_i72;pick item
ship_o26;ship order
place_o27;place order
pick_i76;pick item
pick_i79;pick item
pick_i78;pick item
pick_i77;pick item
ship_o27;ship order
place_o28;place order
pick_i81;pick item
place_o29;place order
pick_i80;pick item
pick_i84;pick item
pick_i82;pick item
pick_i83;pick item
ship_o28;ship order
pick_i89;pick item
pick_i87;pick item
pick_i85;pick item
pick_i86;pick item
pick_i88;pick item
ship_o29;ship order
place_o30;place order
pick_i91;pick item
pick_i90;pick item
ship_o30;ship order
place_o31;place order
pick_i95;pick item
pick_i93;pick item
pick_i92;pick item
place_o32;place order
pick_i97;pick item
pick_i98;pick item
pick_i96;pick item
ship_o32;ship order
pick_i94;pick item
ship_o31;ship order
place_o33;place order
pick_i103;pick item
pick_i102;pick item
pick_i99;pick item
pick_i100;pick item
pick_i101;pick item
ship_o33;ship order
place_o34;place order
pick_i104;pick item
ship_o34;ship order
place_o35;place order
pick_i107;pick item
pick_i105;pick item
place_o36;place order
pick_i106;pick item
ship_o35;ship order
pick_i108;pick item
pick_i109;pick item
pick_i111;pick item
pick_i110;pick item
pick_i112;pick item
ship_o36;ship order
place_o37;place order
pick_i113;pick item
ship_o37;ship order
place_o38;place order
pick_i114;pick item
ship_o38;ship order
place_o39;place order
pick_i116;pick item
pick_i119;pick item
pick_i117;pick item
pick_i115;pick item
pick_i118;pick item
ship_o39;ship order
place_o40;place order
pick_i121;pick item
pick_i120;pick item
ship_o40;ship order
place_o41;place order
pick_i122;pick item
pick_i124;pick item
pick_i123;pick item
ship_o41;ship order
place_o42;place order
pick_i126;pick item
pick_i127;pick item
pick_i125;pick item
ship_o42;ship order
place_o43;place order
pick_i129;pick item
pick_i128;pick item
pick_i130;pick item
ship_o43;ship order
place_o44;place order
pick_i133;pick item
pick_i134;pick item
pick_i131;pick item
pick_i132;pick item
ship_o44;ship order
place_o45;place order
pick_i135;pick item
pick_i136;pick item
ship_o45;ship order
place_o46;place order
pick_i139;pick item
pick_i140;pick item
pick_i138;pick item
pick_i137;pick item
ship_o46;ship order
place_o47;place order
pick_i143;pick item
pick_i142;pick item
pick_i141;pick item
ship_o47;ship order
place_o48;place order
pick_i146;pick item
pick_i145;pick item
pick_i144;pick item
pick_i147;pick item
ship_o48;ship order
place_o49;place order
pick_i148;pick item
ship_o49;ship order
place_o50;place order
pick_i150;pick item
pick_i151;pick item
pick_i149;pick item
ship_o50;ship order
place_o51;place order
pick_i152;pick item
ship_o51;ship order
place_o52;place order
pick_i155;pick item
pick_i154;pick item
pick_i153;pick item
ship_o52;ship order
place_o53;place order
pick_i158;pick item
pick_i161;pick item
pick_i159;pick item
pick_i157;pick item
place_o54;place order
pick_i156;pick item
pick_i160;pick item
pick_i162;pick item
ship_o53;ship order
pick_i163;pick item
ship_o54;ship order
place_o55;place order
pick_i166;pick item
pick_i164;pick item
pick_i167;pick item
pick_i165;pick item
ship_o55;ship order
place_o56;place order
pick_i168;pick item
pick_i169;pick item
pick_i170;pick item
place_o57;place order
ship_o56;ship order
pick_i172;pick item
pick_i173;pick item
pick_i177;pick item
pick_i176;pick item
pick_i174;pick item
pick_i175;pick item
pick_i171;pick item
place_o58;place order
ship_o57;ship order
pick_i178;pick item
pick_i179;pick item
ship_o58;ship order
place_o59;place order
pick_i180;pick item
pick_i182;pick item
pick_i181;pick item
ship_o59;ship order
place_o60;place order
pick_i185;pick item
pick_i183;pick item
pick_i186;pick item
pick_i184;pick item
ship_o60;ship order
place_o61;place order
pick_i189;pick item
pick_i187;pick item
pick_i188;pick item
place_o62;place order
pick_i191;pick item
ship_o61;ship order
pick_i192;pick item
pick_i190;pick item
place_o63;place order
ship_o62;ship order
pick_i193;pick item
pick_i195;pick item
pick_i194;pick item
ship_o63;ship order
place_o64;place order
pick_i197;pick item
pick_i196;pick item
ship_o64;ship order
place_o65;place order
pick_i199;pick item
pick_i198;pick item
place_o66;place order
ship_o65;ship order
pick_i201;pick item
pick_i202;pick item
pick_i204;pick item
pick_i200;pick item
pick_i205;pick item
pick_i203;pick item
ship_o66;ship order
place_o67;place order
pick_i206;pick item
pick_i209;pick item
pick_i207;pick item
pick_i208;pick item
ship_o67;ship order
place_o68;place order
pick_i211;pick item
pick_i210;pick item
ship_o68;ship order
place_o69;place order
pick_i212;pick item
pick_i213;pick item
pick_i215;pick item
pick_i214;pick item
ship_o69;ship order
place_o70;place order
pick_i216;pick item
pick_i217;pick item
pick_i218;pick item
pick_i219;pick item
ship_o70;ship order
place_o71;place order
pick_i221;pick item
pick_i224;pick item
pick_i222;pick item
pick_i223;pick item
pick_i220;pick item
ship_o71;ship order
place_o72;place order
pick_i228;pick item
pick_i227;pick item
pick_i226;pick item
pick_i225;pick item
ship_o72;ship order
place_o73;place order
pick_i230;pick item
pick_i229;pick item
ship_o73;ship order
place_o74;place order
pick_i232;pick item
pick_i231;pick item
pick_i235;pick item
pick_i233;pick item
pick_i234;pick item
place_o75;place order
ship_o74;ship order
pick_i237;pick item
pick_i239;pick item
pick_i236;pick item
pick_i238;pick item
ship_o75;ship order
place_o76;place order
pick_i242;pick item
pick_i241;pick item
pick_i243;pick item
pick_i244;pick item
pick_i240;pick item
ship_o76;ship order
place_o77;place order
pick_i245;pick item
pick_i247;pick item
pick_i246;pick item
ship_o77;ship order
place_o78;place order
pick_i252;pick item
pick_i250;pick item
pick_i248;pick item
pick_i249;pick item
pick_i251;pick item
ship_o78;ship order
place_o79;place order
pick_i255;pick item
pick_i254;pick item
pick_i256;pick item
place_o80;place order
pick_i253;pick item
ship_o79;ship order
pick_i257;pick item
pick_i258;pick item
pick_i259;pick item
ship_o80;ship order
place_o81;place order
pick_i260;pick item
pick_i261;pick item
ship_o81;ship order
place_o82;place order
pick_i262;pick item
pick_i263;pick item
ship_o82;ship order
place_o83;place order
pick_i265;pick item
pick_i264;pick item
ship_o83;ship order
place_o84;place order
pick_i268;pick item
pick_i267;pick item
pick_i266;pick item
pick_i270;pick item
place_o85;place order
pick_i269;pick item
ship_o84;ship order
pick_i272;pick item
pick_i273;pick item
pick_i271;pick item
ship_o85;ship order
place_o86;place order
pick_i277;pick item
pick_i275;pick item
pick_i278;pick item
pick_i274;pick item
pick_i276;pick item
ship_o86;ship order
place_o87;place order
pick_i280;pick item
pick_i279;pick item
ship_o87;ship order
place_o88;place order
pick_i282;pick item
place_o89;place order
pick_i281;pick item
pick_i283;pick item
pick_i285;pick item
pick_i284;pick item
ship_o88;ship order
pick_i289;pick item
pick_i286;pick item
pick_i288;pick item
pick_i287;pick item
ship_o89;ship order
place_o90;place order
pick_i292;pick item
pick_i291;pick item
pick_i290;pick item
pick_i293;pick item
ship_o90;ship order
place_o91;place order
pick_i294;pick item
pick_i295;pick item
ship_o91;ship order
place_o92;place order
pick_i299;pick item
pick_i296;pick item
pick_i297;pick item
pick_i298;pick item
ship_o92;ship order
place_o93;place order
pick_i300;pick item
ship_o93;ship order
place_o94;place order
pick_i302;pick item
pick_i303;pick item
pick_i304;pick item
pick_i301;pick item
ship_o94;ship order
place_o95;place order
pick_i307;pick item
pick_i309;pick item
place_o96;place order
pick_i305;pick item
pick_i315;pick item
pick_i312;pick item
pick_i311;pick item
pick_i310;pick item
pick_i314;pick item
pick_i308;pick item
pick_i313;pick item
ship_o96;ship order
pick_i306;pick item
ship_o95;ship order
place_o97;place order
pick_i319;pick item
pick_i321;pick item
pick_i318;pick item
pick_i320;pick item
pick_i317;pick item
pick_i316;pick item
ship_o97;ship order
place_o98;place order
pick_i323;pick item
pick_i322;pick item
pick_i324;pick item
ship_o98;ship order
place_o99;place order
pick_i329;pick item
pick_i326;pick item
pick_i330;pick item
pick_i327;pick item
pick_i328;pick item
pick_i325;pick item
ship_o99;ship order
place_o100;place order
pick_i332;pick item
pick_i331;pick item
ship_o100;ship order
place_o101;place order
pick_i334;pick item
pick_i333;pick item
ship_o101;ship order
place_o102;place order
pick_i336;pick item
pick_i338;pick item
pick_i337;pick item
pick_i335;pick item
ship_o102;ship order
place_o103;place order
pick_i340;pick item
pick_i339;pick item
pick_i341;pick item
pick_i342;pick item
ship_o103;ship order
place_o104;place order
pick_i347;pick item
pick_i348;pick item
pick_i346;pick item
pick_i343;pick item
pick_i345;pick item
pick_i344;pick item
ship_o104;ship order
place_o105;place order
pick_i351;pick item
pick_i349;pick item
pick_i350;pick item
ship_o105;ship order
place_o106;place order
pick_i352;pick item
pick_i353;pick item
ship_o106;ship order
place_o107;place order
pick_i354;pick item
pick_i355;pick item
ship_o107;ship order
place_o108;place order
pick_i357;pick item
pick_i358;pick item
pick_i360;pick item
pick_i359;pick item
pick_i356;pick item
ship_o108;ship order
place_o109;place order
pick_i365;pick item
pick_i367;pick item
place_o110;place order
pick_i361;pick item
pick_i363;pick item
pick_i362;pick item
pick_i366;pick item
pick_i364;pick item
pick_i370;pick item
ship_o109;ship order
pick_i369;pick item
pick_i371;pick item
place_o111;place order
pick_i375;pick item
pick_i374;pick item
pick_i376;pick item
pick_i373;pick item
pick_i368;pick item
ship_o110;ship order
pick_i372;pick item
ship_o111;ship order
place_o112;place order
pick_i379;pick item
pick_i380;pick item
pick_i378;pick item
pick_i377;pick item
ship_o112;ship order
place_o113;place order
pick_i382;pick item
pick_i384;pick item
pick_i383;pick item
pick_i381;pick item
pick_i385;pick item
pick_i386;pick item
ship_o113;ship order
place_o114;place order
pick_i390;pick item
pick_i389;pick item
pick_i387;pick item
pick_i388;pick item
place_o115;place order
pick_i392;pick item
pick_i391;pick item
ship_o114;ship order
pick_i393;pick item
pick_i394;pick item
ship_o115;ship order
place_o116;place order
pick_i399;pick item
pick_i397;pick item
pick_i400;pick item
place_o117;place order
pick_i405;pick item
pick_i398;pick item
pick_i402;pick item
pick_i403;pick item
pick_i404;pick item
ship_o117;ship order
pick_i395;pick item
pick_i401;pick item
pick_i396;pick item
ship_o116;ship order
place_o118;place order
pick_i408;pick item
pick_i409;pick item
pick_i411;pick item
place_o119;place order
pick_i410;pick item
pick_i415;pick item
pick_i407;pick item
pick_i414;pick item
pick_i416;pick item
pick_i412;pick item
pick_i406;pick item
