ocel_id;ocel_time;ocel_changed_field
o1;2023-04-03 10:17:21;
o2;2023-04-03 13:04:03;
o3;2023-04-03 15:37:27;
o4;2023-04-03 18:44:15;
o5;2023-04-04 02:00:18;
o6;2023-04-04 10:23:41;
o7;2023-04-04 13:16:43;
o8;2023-04-04 16:02:47;
o9;2023-04-04 18:34:55;
o10;2023-04-05 00:17:38;
o11;2023-04-05 10:30:45;
o12;2023-04-05 13:30:51;
o13;2023-04-05 16:31:03;
o14;2023-04-05 19:31:51;
o15;2023-04-06 07:04:39;
o16;2023-04-06 10:58:28;
o17;2023-04-06 14:26:17;
o18;2023-04-06 17:21:55;
o19;2023-04-06 21:04:28;
o20;2023-04-07 09:12:03;
o21;2023-04-07 11:53:27;
o22;2023-04-07 15:16:15;
o23;2023-04-07 18:01:52;
o24;2023-04-07 22:04:18;
o25;2023-04-08 09:41:48;
o26;2023-04-08 12:52:58;
o27;2023-04-08 16:15:17;
o28;2023-04-08 18:59:55;
o29;2023-04-09 08:45:19;
o30;2023-04-09 14:36:41;
o31;2023-04-09 20:47:28;
o32;2023-04-10 10:22:41;
o33;2023-04-10 13:14:44;
o34;2023-04-10 15:58:49;
o35;2023-04-10 19:26:59;
o36;2023-04-11 06:35:26;
o37;2023-04-11 11:26:20;
o38;2023-04-11 14:22:01;
o39;2023-04-11 17:13:24;
o40;2023-04-11 20:38:54;
o41;2023-04-12 09:28:31;
o42;2023-04-12 12:26:23;
o43;2023-04-12 15:22:07;
o44;2023-04-12 18:13:35;
o45;2023-04-12 22:39:28;
o46;2023-04-13 10:34:33;
o47;2023-04-13 13:38:27;
o48;2023-04-13 16:46:15;
o49;2023-04-13 20:17:28;
o50;2023-04-14 08:45:38;
o51;2023-04-14 12:07:48;
o52;2023-04-14 14:44:58;
o53;2023-04-14 17:59:17;
o54;2023-04-14 22:56:33;
o55;2023-04-15 11:00:11;
o56;2023-04-15 13:29:43;
o57;2023-04-15 16:28:48;
o58;2023-04-15 19:26:57;
o59;2023-04-16 09:18:16;
o60;2023-04-16 14:35:14;
o61;2023-04-16 20:43:07;
o62;2023-04-17 10:17:15;
o63;2023-04-17 13:03:51;
o64;2023-04-17 15:37:03;
o65;2023-04-17 18:43:28;
o66;2023-04-18 01:51:40;
o67;2023-04-18 11:14:11;
o68;2023-04-18 13:57:43;
o69;2023-04-18 17:24:48;
o70;2023-04-18 21:13:06;
o71;2023-04-19 09:25:00;
o72;2023-04-19 12:19:21;
