ocel_id;ocel_time
ship_o1;2023-04-03 10:33:41
ship_o2;2023-04-03 13:43:16
ship_o3;2023-04-03 17:58:44
ship_o4;2023-04-03 21:42:47
ship_o5;2023-04-04 08:29:42
ship_o6;2023-04-04 10:38:23
ship_o7;2023-04-04 13:46:08
ship_o8;2023-04-04 16:17:30
ship_o9;2023-04-04 20:36:57
ship_o10;2023-04-05 08:47:02
ship_o11;2023-04-05 10:42:31
ship_o12;2023-04-05 13:54:23
ship_o13;2023-04-05 16:42:49
ship_o14;2023-04-06 08:32:13
ship_o15;2023-04-06 08:49:52
ship_o16;2023-04-06 12:26:21
ship_o17;2023-04-06 14:35:06
ship_o18;2023-04-06 17:45:27
ship_o19;2023-04-07 08:18:16
ship_o20;2023-04-07 09:28:23
ship_o21;2023-04-07 13:13:02
ship_o22;2023-04-07 15:35:52
ship_o23;2023-04-07 18:56:20
ship_o24;2023-04-08 09:52:56
ship_o25;2023-04-08 11:16:33
ship_o26;2023-04-08 14:32:59
ship_o27;2023-04-08 16:50:35
ship_o28;2023-04-09 09:40:46
ship_o29;2023-04-09 14:08:22
ship_o30;2023-04-09 16:04:51
ship_o32;2023-04-10 12:13:37
ship_o31;2023-04-10 12:20:09
ship_o33;2023-04-10 14:54:11
ship_o34;2023-04-10 17:10:42
ship_o35;2023-04-11 08:43:07
ship_o36;2023-04-11 10:07:17
ship_o37;2023-04-11 11:35:10
ship_o38;2023-04-11 14:30:51
ship_o39;2023-04-11 17:54:34
ship_o40;2023-04-12 08:28:24
ship_o41;2023-04-12 09:43:13
ship_o42;2023-04-12 12:55:48
ship_o43;2023-04-12 15:36:49
ship_o44;2023-04-12 20:30:02
ship_o45;2023-04-13 09:58:37
ship_o46;2023-04-13 10:52:12
ship_o47;2023-04-13 15:57:07
ship_o48;2023-04-13 19:09:38
ship_o49;2023-04-14 08:34:28
ship_o50;2023-04-14 10:07:52
ship_o51;2023-04-14 12:27:25
ship_o52;2023-04-14 15:59:20
ship_o53;2023-04-15 10:09:58
ship_o54;2023-04-15 10:21:44
ship_o55;2023-04-15 11:35:29
ship_o56;2023-04-15 17:00:43
ship_o57;2023-04-15 20:35:34
ship_o58;2023-04-16 09:11:30
ship_o59;2023-04-16 09:55:02
ship_o60;2023-04-16 16:16:39
ship_o61;2023-04-17 10:57:28
ship_o62;2023-04-17 13:07:41
ship_o63;2023-04-17 13:36:32
ship_o64;2023-04-17 15:50:08
ship_o65;2023-04-18 08:31:48
ship_o66;2023-04-18 09:21:05
ship_o67;2023-04-18 11:31:50
ship_o68;2023-04-18 15:08:21
ship_o69;2023-04-18 18:54:21
ship_o70;2023-04-19 08:39:01
ship_o71;2023-04-19 09:45:36
ship_o72;2023-04-19 12:54:39
ship_o73;2023-04-19 15:19:50
ship_o74;2023-04-20 08:36:49
ship_o75;2023-04-20 09:54:38
ship_o76;2023-04-20 11:16:45
ship_o77;2023-04-20 13:54:56
ship_o78;2023-04-20 16:40:59
ship_o79;2023-04-21 08:19:29
ship_o80;2023-04-21 09:17:13
ship_o81;2023-04-21 11:48:12
ship_o82;2023-04-21 14:52:40
ship_o83;2023-04-21 21:27:39
ship_o84;2023-04-22 10:22:56
ship_o85;2023-04-22 10:41:13
ship_o86;2023-04-22 14:38:51
ship_o87;2023-04-22 16:38:48
ship_o88;2023-04-23 09:40:36
ship_o89;2023-04-23 11:20:03
ship_o90;2023-04-23 16:17:28
ship_o91;2023-04-24 09:59:04
ship_o92;2023-04-24 10:38:22
ship_o93;2023-04-24 13:26:28
ship_o94;2023-04-24 17:02:04
ship_o96;2023-04-25 09:54:27
ship_o95;2023-04-25 09:57:23
ship_o97;2023-04-25 12:58:08
ship_o98;2023-04-25 14:57:30
ship_o99;2023-04-25 17:53:29
ship_o100;2023-04-26 08:41:27
ship_o101;2023-04-26 10:03:27
ship_o102;2023-04-26 12:44:34
ship_o103;2023-04-26 16:05:15
ship_o104;2023-04-26 21:40:41
ship_o105;2023-04-27 08:43:40
ship_o106;2023-04-27 12:07:32
ship_o107;2023-04-27 13:46:21
ship_o108;2023-04-27 16:35:35
ship_o109;2023-04-28 09:55:04
ship_o110;2023-04-28 12:35:49
ship_o111;2023-04-28 12:42:22
ship_o112;2023-04-28 14:41:43
ship_o113;2023-04-28 19:09:07
ship_o114;2023-04-29 10:17:00
ship_o115;2023-04-29 10:28:46
ship_o117;2023-04-29 16:35:04
ship_o116;2023-04-29 16:52:43
ship_o118;2023-04-30 09:51:39
ship_o119;2023-04-30 11:05:21
ship_o120;2023-04-30 15:15:36
ship_o121;2023-05-01 08:32:30
ship_o122;2023-05-01 11:00:26
ship_o123;2023-05-01 14:17:16
ship_o124;2023-05-01 15:32:56
ship_o125;2023-05-01 20:35:58
ship_o126;2023-05-02 08:55:22
ship_o127;2023-05-02 10:26:03
ship_o128;2023-05-02 14:19:22
ship_o129;2023-05-02 16:39:54
ship_o130;2023-05-03 09:55:22
ship_o131;2023-05-03 12:02:02
ship_o132;2023-05-03 12:19:41
ship_o133;2023-05-03 17:12:55
ship_o134;2023-05-03 19:53:28
ship_o135;2023-05-04 08:34:04
ship_o136;2023-05-04 10:05:53
ship_o137;2023-05-04 15:08:37
ship_o138;2023-05-04 16:38:03
ship_o139;2023-05-05 10:11:13
ship_o140;2023-05-05 10:14:29
ship_o141;2023-05-05 13:24:09
ship_o142;2023-05-05 14:35:13
ship_o143;2023-05-05 20:56:39
ship_o144;2023-05-06 10:05:52
ship_o145;2023-05-06 10:17:38
ship_o146;2023-05-06 15:08:16
ship_o147;2023-05-06 17:01:05
ship_o148;2023-05-07 08:54:17
ship_o149;2023-05-07 11:04:55
ship_o150;2023-05-07 14:19:49
ship_o151;2023-05-08 08:56:04
ship_o152;2023-05-08 09:38:36
ship_o153;2023-05-08 14:15:37
ship_o154;2023-05-08 15:33:04
ship_o156;2023-05-09 09:39:33
ship_o155;2023-05-09 09:42:29
ship_o157;2023-05-09 10:31:55
ship_o158;2023-05-09 13:27:17
ship_o159;2023-05-09 19:08:33
ship_o160;2023-05-09 21:41:25
ship_o161;2023-05-10 10:05:16
ship_o162;2023-05-10 11:30:33
ship_o163;2023-05-10 16:00:08
ship_o164;2023-05-10 17:37:18
ship_o166;2023-05-11 11:08:22
ship_o165;2023-05-11 11:11:18
ship_o167;2023-05-11 14:10:15
ship_o168;2023-05-11 15:31:57
ship_o169;2023-05-12 08:28:59
ship_o170;2023-05-12 09:21:58
ship_o171;2023-05-12 13:01:02
ship_o172;2023-05-12 14:40:36
ship_o173;2023-05-12 17:50:33
ship_o174;2023-05-13 10:47:45
ship_o175;2023-05-13 10:53:38
ship_o176;2023-05-13 16:06:50
ship_o177;2023-05-13 16:36:15
ship_o178;2023-05-14 08:46:46
ship_o179;2023-05-14 09:56:13
ship_o180;2023-05-14 16:09:33
ship_o181;2023-05-15 08:19:52
ship_o182;2023-05-15 08:57:34
ship_o183;2023-05-15 11:21:08
ship_o184;2023-05-15 15:07:39
ship_o185;2023-05-15 16:57:04
ship_o187;2023-05-16 09:59:04
ship_o186;2023-05-16 11:04:01
ship_o188;2023-05-16 11:18:42
ship_o189;2023-05-16 14:58:22
ship_o190;2023-05-16 16:49:55
ship_o191;2023-05-17 08:40:59
ship_o192;2023-05-17 08:58:37
ship_o193;2023-05-17 11:40:12
ship_o194;2023-05-17 14:35:02
ship_o195;2023-05-17 20:11:36
ship_o196;2023-05-18 11:16:05
ship_o197;2023-05-18 11:19:02
ship_o198;2023-05-18 14:59:30
ship_o199;2023-05-18 16:24:58
ship_o200;2023-05-19 08:11:21
ship_o201;2023-05-19 08:28:13
ship_o202;2023-05-19 10:44:42
ship_o203;2023-05-19 15:04:39
ship_o204;2023-05-19 16:54:09
ship_o206;2023-05-20 11:13:11
ship_o205;2023-05-20 11:24:57
ship_o207;2023-05-20 11:48:29
ship_o208;2023-05-20 16:14:09
ship_o209;2023-05-20 20:29:32
ship_o210;2023-05-21 11:07:15
ship_o211;2023-05-21 13:10:54
ship_o212;2023-05-21 16:58:37
ship_o213;2023-05-22 08:57:50
ship_o214;2023-05-22 10:53:24
ship_o215;2023-05-22 13:56:33
ship_o216;2023-05-22 18:33:49
ship_o218;2023-05-23 10:07:45
ship_o217;2023-05-23 10:13:38
ship_o219;2023-05-23 12:58:23
ship_o220;2023-05-23 18:33:21
ship_o221;2023-05-23 21:30:41
ship_o222;2023-05-24 11:57:45
ship_o223;2023-05-24 12:59:08
ship_o224;2023-05-24 14:10:02
ship_o225;2023-05-24 16:12:58
ship_o226;2023-05-24 20:01:49
ship_o227;2023-05-25 08:52:08
ship_o228;2023-05-25 13:16:09
ship_o229;2023-05-25 13:48:13
ship_o230;2023-05-25 19:59:37
ship_o232;2023-05-26 13:36:25
ship_o231;2023-05-26 13:49:29
ship_o233;2023-05-26 14:57:18
ship_o234;2023-05-26 15:57:52
ship_o235;2023-05-26 18:56:53
ship_o236;2023-05-27 10:56:41
ship_o237;2023-05-27 13:44:49
ship_o238;2023-05-27 15:55:13
ship_o239;2023-05-27 21:27:38
