ocel_event_id;ocel_object_id;ocel_qualifier
place_o1;o1;order
place_o1;i1;item
place_o1;i2;item
place_o1;i3;item
pick_i3;i3;item
pick_i2;i2;item
pick_i1;i1;item
ship_o1;o1;order
ship_o1;i1;item
ship_o1;i2;item
ship_o1;i3;item
place_o2;o2;order
place_o2;i4;item
place_o2;i5;item
place_o2;i6;item
place_o2;i7;item
pick_i6;i6;item
pick_i5;i5;item
pick_i4;i4;item
pick_i7;i7;item
ship_o2;o2;order
ship_o2;i4;item
ship_o2;i5;item
ship_o2;i6;item
ship_o2;i7;item
place_o3;o3;order
place_o3;i8;item
place_o3;i9;item
place_o3;i10;item
place_o3;i11;item
place_o3;i12;item
place_o3;i13;item
pick_i8;i8;item
pick_i10;i10;item
pick_i9;i9;item
pick_i13;i13;item
pick_i11;i11;item
pick_i12;i12;item
ship_o3;o3;order
ship_o3;i8;item
ship_o3;i9;item
ship_o3;i10;item
ship_o3;i11;item
ship_o3;i12;item
ship_o3;i13;item
place_o4;o4;order
place_o4;i14;item
place_o4;i15;item
pick_i14;i14;item
pick_i15;i15;item
ship_o4;o4;order
ship_o4;i14;item
ship_o4;i15;item
place_o5;o5;order
place_o5;i16;item
place_o5;i17;item
place_o5;i18;item
pick_i16;i16;item
pick_i18;i18;item
pick_i17;i17;item
ship_o5;o5;order
ship_o5;i16;item
ship_o5;i17;item
ship_o5;i18;item
place_o6;o6;order
place_o6;i19;item
place_o6;i20;item
place_o6;i21;item
pick_i20;i20;item
pick_i19;i19;item
pick_i21;i21;item
ship_o6;o6;order
ship_o6;i19;item
ship_o6;i20;item
ship_o6;i21;item
place_o7;o7;order
place_o7;i22;item
place_o7;i23;item
place_o7;i24;item
pick_i24;i24;item
pick_i22;i22;item
pick_i23;i23;item
ship_o7;o7;order
ship_o7;i22;item
ship_o7;i23;item
ship_o7;i24;item
place_o8;o8;order
place_o8;i25;item
place_o8;i26;item
place_o8;i27;item
pick_i27;i27;item
pick_i25;i25;item
pick_i26;i26;item
ship_o8;o8;order
ship_o8;i25;item
ship_o8;i26;item
ship_o8;i27;item
place_o9;o9;order
place_o9;i28;item
place_o9;i29;item
pick_i28;i28;item
pick_i29;i29;item
ship_o9;o9;order
ship_o9;i28;item
ship_o9;i29;item
place_o10;o10;order
place_o10;i30;item
place_o10;i31;item
place_o10;i32;item
pick_i31;i31;item
pick_i32;i32;item
pick_i30;i30;item
ship_o10;o10;order
ship_o10;i30;item
ship_o10;i31;item
ship_o10;i32;item
place_o11;o11;order
place_o11;i33;item
place_o11;i34;item
pick_i33;i33;item
pick_i34;i34;item
ship_o11;o11;order
ship_o11;i33;item
ship_o11;i34;item
place_o12;o12;order
place_o12;i35;item
place_o12;i36;item
pick_i35;i35;item
pick_i36;i36;item
ship_o12;o12;order
ship_o12;i35;item
ship_o12;i36;item
place_o13;o13;order
place_o13;i37;item
place_o13;i38;item
pick_i38;i38;item
pick_i37;i37;item
ship_o13;o13;order
ship_o13;i37;item
ship_o13;i38;item
place_o14;o14;order
place_o14;i39;item
place_o14;i40;item
pick_i40;i40;item
pick_i39;i39;item
place_o15;o15;order
place_o15;i41;item
place_o15;i42;item
place_o15;i43;item
ship_o14;o14;order
ship_o14;i39;item
ship_o14;i40;item
pick_i42;i42;item
pick_i43;i43;item
pick_i41;i41;item
ship_o15;o15;order
ship_o15;i41;item
ship_o15;i42;item
ship_o15;i43;item
place_o16;o16;order
place_o16;i44;item
place_o16;i45;item
place_o16;i46;item
place_o16;i47;item
pick_i45;i45;item
pick_i44;i44;item
pick_i46;i46;item
pick_i47;i47;item
ship_o16;o16;order
ship_o16;i44;item
ship_o16;i45;item
ship_o16;i46;item
ship_o16;i47;item
place_o17;o17;order
place_o17;i48;item
pick_i48;i48;item
ship_o17;o17;order
ship_o17;i48;item
place_o18;o18;order
place_o18;i49;item
place_o18;i50;item
pick_i49;i49;item
pick_i50;i50;item
ship_o18;o18;order
ship_o18;i49;item
ship_o18;i50;item
place_o19;o19;order
place_o19;i51;item
place_o19;i52;item
pick_i51;i51;item
pick_i52;i52;item
ship_o19;o19;order
ship_o19;i51;item
ship_o19;i52;item
place_o20;o20;order
place_o20;i53;item
place_o20;i54;item
place_o20;i55;item
pick_i54;i54;item
pick_i53;i53;item
pick_i55;i55;item
ship_o20;o20;order
ship_o20;i53;item
ship_o20;i54;item
ship_o20;i55;item
place_o21;o21;order
place_o21;i56;item
place_o21;i57;item
pick_i57;i57;item
pick_i56;i56;item
ship_o21;o21;order
ship_o21;i56;item
ship_o21;i57;item
place_o22;o22;order
place_o22;i58;item
place_o22;i59;item
place_o22;i60;item
place_o22;i61;item
pick_i59;i59;item
pick_i58;i58;item
pick_i61;i61;item
pick_i60;i60;item
ship_o22;o22;order
ship_o22;i58;item
ship_o22;i59;item
ship_o22;i60;item
ship_o22;i61;item
place_o23;o23;order
place_o23;i62;item
place_o23;i63;item
place_o23;i64;item
pick_i64;i64;item
pick_i62;i62;item
pick_i63;i63;item
ship_o23;o23;order
ship_o23;i62;item
ship_o23;i63;item
ship_o23;i64;item
place_o24;o24;order
place_o24;i65;item
place_o24;i66;item
place_o24;i67;item
pick_i66;i66;item
pick_i65;i65;item
pick_i67;i67;item
place_o25;o25;order
place_o25;i68;item
place_o25;i69;item
place_o25;i70;item
place_o25;i71;item
ship_o24;o24;order
ship_o24;i65;item
ship_o24;i66;item
ship_o24;i67;item
pick_i68;i68;item
pick_i69;i69;item
pick_i70;i70;item
pick_i71;i71;item
ship_o25;o25;order
ship_o25;i68;item
ship_o25;i69;item
ship_o25;i70;item
ship_o25;i71;item
place_o26;o26;order
place_o26;i72;item
place_o26;i73;item
place_o26;i74;item
place_o26;i75;item
pick_i73;i73;item
pick_i74;i74;item
pick_i75;i75;item
pick_i72;i72;item
ship_o26;o26;order
ship_o26;i72;item
ship_o26;i73;item
ship_o26;i74;item
ship_o26;i75;item
place_o27;o27;order
place_o27;i76;item
place_o27;i77;item
place_o27;i78;item
place_o27;i79;item
pick_i76;i76;item
pick_i79;i79;item
pick_i78;i78;item
pick_i77;i77;item
ship_o27;o27;order
ship_o27;i76;item
ship_o27;i77;item
ship_o27;i78;item
ship_o27;i79;item
place_o28;o28;order
place_o28;i80;item
place_o28;i81;item
place_o28;i82;item
place_o28;i83;item
place_o28;i84;item
pick_i81;i81;item
place_o29;o29;order
place_o29;i85;item
place_o29;i86;item
place_o29;i87;item
place_o29;i88;item
place_o29;i89;item
pick_i80;i80;item
pick_i84;i84;item
pick_i82;i82;item
pick_i83;i83;item
ship_o28;o28;order
ship_o28;i80;item
ship_o28;i81;item
ship_o28;i82;item
