ocel_id;ocel_type
o1;orders
i1;items
i2;items
i3;items
o2;orders
i4;items
i5;items
i6;items
i7;items
o3;orders
i8;items
i9;items
i10;items
i11;items
i12;items
i13;items
o4;orders
i14;items
i15;items
o5;orders
i16;items
i17;items
i18;items
o6;orders
i19;items
i20;items
i21;items
o7;orders
i22;items
i23;items
i24;items
o8;orders
i25;items
i26;items
i27;items
o9;orders
i28;items
i29;items
o10;orders
i30;items
i31;items
i32;items
o11;orders
i33;items
i34;items
o12;orders
i35;items
i36;items
o13;orders
i37;items
i38;items
o14;orders
i39;items
i40;items
o15;orders
i41;items
i42;items
i43;items
o16;orders
i44;items
i45;items
i46;items
i47;items
o17;orders
i48;items
o18;orders
i49;items
i50;items
o19;orders
i51;items
i52;items
o20;orders
i53;items
i54;items
i55;items
o21;orders
i56;items
i57;items
o22;orders
i58;items
i59;items
i60;items
i61;items
o23;orders
i62;items
i63;items
i64;items
o24;orders
i65;items
i66;items
i67;items
o25;orders
i68;items
i69;items
i70;items
i71;items
o26;orders
i72;items
i73;items
i74;items
i75;items
o27;orders
i76;items
i77;items
i78;items
i79;items
o28;orders
i80;items
i81;items
i82;items
i83;items
i84;items
o29;orders
i85;items
i86;items
i87;items
i88;items
i89;items
o30;orders
i90;items
i91;items
o31;orders
i92;items
i93;items
i94;items
i95;items
o32;orders
i96;items
i97;items
i98;items
o33;orders
i99;items
i100;items
i101;items
i102;items
i103;items
o34;orders
i104;items
o35;orders
i105;items
i106;items
i107;items
o36;orders
i108;items
i109;items
i110;items
i111;items
i112;items
o37;orders
i113;items
o38;orders
i114;items
o39;orders
i115;items
i116;items
i117;items
i118;items
i119;items
o40;orders
i120;items
i121;items
o41;orders
i122;items
i123;items
i124;items
o42;orders
i125;items
i126;items
i127;items
o43;orders
i128;items
i129;items
i130;items
o44;orders
i131;items
i132;items
i133;items
i134;items
o45;orders
i135;items
i136;items
o46;orders
i137;items
i138;items
i139;items
i140;items
o47;orders
i141;items
i142;items
i143;items
o48;orders
i144;items
i145;items
i146;items
i147;items
o49;orders
i148;items
o50;orders
i149;items
i150;items
i151;items
o51;orders
i152;items
o52;orders
i153;items
i154;items
i155;items
o53;orders
i156;items
i157;items
i158;items
i159;items
i160;items
i161;items
o54;orders
i162;items
i163;items
o55;orders
i164;items
i165;items
i166;items
i167;items
o56;orders
i168;items
i169;items
i170;items
o57;orders
i171;items
i172;items
i173;items
i174;items
i175;items
i176;items
i177;items
o58;orders
i178;items
i179;items
o59;orders
i180;items
i181;items
i182;items
o60;orders
i183;items
i184;items
i185;items
i186;items
o61;orders
i187;items
i188;items
i189;items
o62;orders
i190;items
i191;items
i192;items
o63;orders
i193;items
i194;items
i195;items
o64;orders
i196;items
i197;items
o65;orders
i198;items
i199;items
o66;orders
i200;items
i201;items
i202;items
i203;items
i204;items
i205;items
o67;orders
i206;items
i207;items
i208;items
i209;items
o68;orders
i210;items
i211;items
o69;orders
i212;items
i213;items
i214;items
i215;items
o70;orders
i216;items
i217;items
i218;items
i219;items
o71;orders
i220;items
i221;items
i222;items
i223;items
i224;items
o72;orders
i225;items
