ocel_id;ocel_time;ocel_changed_field
i1;2023-04-03 10:17:21;
i2;2023-04-03 10:17:21;
i3;2023-04-03 10:17:21;
i4;2023-04-03 13:04:03;
i5;2023-04-03 13:04:03;
i6;2023-04-03 13:04:03;
i7;2023-04-03 13:04:03;
i8;2023-04-03 15:37:27;
i9;2023-04-03 15:37:27;
i10;2023-04-03 15:37:27;
i11;2023-04-03 15:37:27;
i12;2023-04-03 15:37:27;
i13;2023-04-03 15:37:27;
i14;2023-04-03 18:44:15;
i15;2023-04-03 18:44:15;
i16;2023-04-04 02:00:18;
i17;2023-04-04 02:00:18;
i18;2023-04-04 02:00:18;
i19;2023-04-04 10:23:41;
i20;2023-04-04 10:23:41;
i21;2023-04-04 10:23:41;
i22;2023-04-04 13:16:43;
i23;2023-04-04 13:16:43;
i24;2023-04-04 13:16:43;
i25;2023-04-04 16:02:47;
i26;2023-04-04 16:02:47;
i27;2023-04-04 16:02:47;
i28;2023-04-04 18:34:55;
i29;2023-04-04 18:34:55;
i30;2023-04-05 00:17:38;
i31;2023-04-05 00:17:38;
i32;2023-04-05 00:17:38;
i33;2023-04-05 10:30:45;
i34;2023-04-05 10:30:45;
i35;2023-04-05 13:30:51;
i36;2023-04-05 13:30:51;
i37;2023-04-05 16:31:03;
i38;2023-04-05 16:31:03;
i39;2023-04-05 19:31:51;
i40;2023-04-05 19:31:51;
i41;2023-04-06 07:04:39;
i42;2023-04-06 07:04:39;
i43;2023-04-06 07:04:39;
i44;2023-04-06 10:58:28;
i45;2023-04-06 10:58:28;
i46;2023-04-06 10:58:28;
i47;2023-04-06 10:58:28;
i48;2023-04-06 14:26:17;
i49;2023-04-06 17:21:55;
i50;2023-04-06 17:21:55;
i51;2023-04-06 21:04:28;
i52;2023-04-06 21:04:28;
i53;2023-04-07 09:12:03;
i54;2023-04-07 09:12:03;
i55;2023-04-07 09:12:03;
i56;2023-04-07 11:53:27;
i57;2023-04-07 11:53:27;
i58;2023-04-07 15:16:15;
i59;2023-04-07 15:16:15;
i60;2023-04-07 15:16:15;
i61;2023-04-07 15:16:15;
i62;2023-04-07 18:01:52;
i63;2023-04-07 18:01:52;
i64;2023-04-07 18:01:52;
i65;2023-04-07 22:04:18;
i66;2023-04-07 22:04:18;
i67;2023-04-07 22:04:18;
i68;2023-04-08 09:41:48;
i69;2023-04-08 09:41:48;
i70;2023-04-08 09:41:48;
i71;2023-04-08 09:41:48;
i72;2023-04-08 12:52:58;
i73;2023-04-08 12:52:58;
i74;2023-04-08 12:52:58;
i75;2023-04-08 12:52:58;
i76;2023-04-08 16:15:17;
i77;2023-04-08 16:15:17;
i78;2023-04-08 16:15:17;
i79;2023-04-08 16:15:17;
i80;2023-04-08 18:59:55;
i81;2023-04-08 18:59:55;
i82;2023-04-08 18:59:55;
i83;2023-04-08 18:59:55;
i84;2023-04-08 18:59:55;
i85;2023-04-09 08:45:19;
i86;2023-04-09 08:45:19;
i87;2023-04-09 08:45:19;
i88;2023-04-09 08:45:19;
i89;2023-04-09 08:45:19;
i90;2023-04-09 14:36:41;
i91;2023-04-09 14:36:41;
i92;2023-04-09 20:47:28;
i93;2023-04-09 20:47:28;
i94;2023-04-09 20:47:28;
i95;2023-04-09 20:47:28;
i96;2023-04-10 10:22:41;
i97;2023-04-10 10:22:41;
i98;2023-04-10 10:22:41;
i99;2023-04-10 13:14:44;
i100;2023-04-10 13:14:44;
i101;2023-04-10 13:14:44;
i102;2023-04-10 13:14:44;
i103;2023-04-10 13:14:44;
i104;2023-04-10 15:58:49;
i105;2023-04-10 19:26:59;
i106;2023-04-10 19:26:59;
i107;2023-04-10 19:26:59;
i108;2023-04-11 06:35:26;
i109;2023-04-11 06:35:26;
i110;2023-04-11 06:35:26;
i111;2023-04-11 06:35:26;
i112;2023-04-11 06:35:26;
i113;2023-04-11 11:26:20;
i114;2023-04-11 14:22:01;
i115;2023-04-11 17:13:24;
i116;2023-04-11 17:13:24;
i117;2023-04-11 17:13:24;
i118;2023-04-11 17:13:24;
i119;2023-04-11 17:13:24;
i120;2023-04-11 20:38:54;
i121;2023-04-11 20:38:54;
i122;2023-04-12 09:28:31;
i123;2023-04-12 09:28:31;
i124;2023-04-12 09:28:31;
i125;2023-04-12 12:26:23;
i126;2023-04-12 12:26:23;
i127;2023-04-12 12:26:23;
i128;2023-04-12 15:22:07;
i129;2023-04-12 15:22:07;
i130;2023-04-12 15:22:07;
i131;2023-04-12 18:13:35;
i132;2023-04-12 18:13:35;
i133;2023-04-12 18:13:35;
i134;2023-04-12 18:13:35;
i135;2023-04-12 22:39:28;
i136;2023-04-12 22:39:28;
i137;2023-04-13 10:34:33;
i138;2023-04-13 10:34:33;
i139;2023-04-13 10:34:33;
i140;2023-04-13 10:34:33;
i141;2023-04-13 13:38:27;
i142;2023-04-13 13:38:27;
i143;2023-04-13 13:38:27;
i144;2023-04-13 16:46:15;
i145;2023-04-13 16:46:15;
i146;2023-04-13 16:46:15;
i147;2023-04-13 16:46:15;
i148;2023-04-13 20:17:28;
i149;2023-04-14 08:45:38;
i150;2023-04-14 08:45:38;
i151;2023-04-14 08:45:38;
i152;2023-04-14 12:07:48;
i153;2023-04-14 14:44:58;
i154;2023-04-14 14:44:58;
i155;2023-04-14 14:44:58;
i156;2023-04-14 17:59:17;
i157;2023-04-14 17:59:17;
i158;2023-04-14 17:59:17;
i159;2023-04-14 17:59:17;
i160;2023-04-14 17:59:17;
i161;2023-04-14 17:59:17;
i162;2023-04-14 22:56:33;
i163;2023-04-14 22:56:33;
i164;2023-04-15 11:00:11;
i165;2023-04-15 11:00:11;
i166;2023-04-15 11:00:11;
i167;2023-04-15 11:00:11;
i168;2023-04-15 13:29:43;
i169;2023-04-15 13:29:43;
i170;2023-04-15 13:29:43;
