ocel_source_id;ocel_target_id;ocel_qualifier
o1;i1;contains
o1;i2;contains
o1;i3;contains
o2;i4;contains
o2;i5;contains
o2;i6;contains
o2;i7;contains
o3;i8;contains
o3;i9;contains
o3;i10;contains
o3;i11;contains
o3;i12;contains
o3;i13;contains
o4;i14;contains
o4;i15;contains
o5;i16;contains
o5;i17;contains
o5;i18;contains
o6;i19;contains
o6;i20;contains
o6;i21;contains
o7;i22;contains
o7;i23;contains
o7;i24;contains
o8;i25;contains
o8;i26;contains
o8;i27;contains
o9;i28;contains
o9;i29;contains
o10;i30;contains
o10;i31;contains
o10;i32;contains
o11;i33;contains
o11;i34;contains
o12;i35;contains
o12;i36;contains
o13;i37;contains
o13;i38;contains
o14;i39;contains
o14;i40;contains
o15;i41;contains
o15;i42;contains
o15;i43;contains
o16;i44;contains
o16;i45;contains
o16;i46;contains
o16;i47;contains
o17;i48;contains
o18;i49;contains
o18;i50;contains
o19;i51;contains
o19;i52;contains
o20;i53;contains
o20;i54;contains
o20;i55;contains
o21;i56;contains
o21;i57;contains
o22;i58;contains
o22;i59;contains
o22;i60;contains
o22;i61;contains
o23;i62;contains
o23;i63;contains
o23;i64;contains
o24;i65;contains
o24;i66;contains
o24;i67;contains
o25;i68;contains
o25;i69;contains
o25;i70;contains
o25;i71;contains
o26;i72;contains
o26;i73;contains
o26;i74;contains
o26;i75;contains
o27;i76;contains
o27;i77;contains
o27;i78;contains
o27;i79;contains
o28;i80;contains
o28;i81;contains
o28;i82;contains
o28;i83;contains
o28;i84;contains
o29;i85;contains
o29;i86;contains
o29;i87;contains
o29;i88;contains
o29;i89;contains
o30;i90;contains
o30;i91;contains
o31;i92;contains
o31;i93;contains
o31;i94;contains
o31;i95;contains
o32;i96;contains
o32;i97;contains
o32;i98;contains
o33;i99;contains
o33;i100;contains
o33;i101;contains
o33;i102;contains
o33;i103;contains
o34;i104;contains
o35;i105;contains
o35;i106;contains
o35;i107;contains
o36;i108;contains
o36;i109;contains
o36;i110;contains
o36;i111;contains
o36;i112;contains
o37;i113;contains
o38;i114;contains
o39;i115;contains
o39;i116;contains
o39;i117;contains
o39;i118;contains
o39;i119;contains
o40;i120;contains
o40;i121;contains
o41;i122;contains
o41;i123;contains
o41;i124;contains
o42;i125;contains
o42;i126;contains
o42;i127;contains
o43;i128;contains
o43;i129;contains
o43;i130;contains
o44;i131;contains
o44;i132;contains
o44;i133;contains
o44;i134;contains
o45;i135;contains
o45;i136;contains
o46;i137;contains
o46;i138;contains
o46;i139;contains
o46;i140;contains
o47;i141;contains
o47;i142;contains
o47;i143;contains
o48;i144;contains
o48;i145;contains
o48;i146;contains
o48;i147;contains
o49;i148;contains
o50;i149;contains
o50;i150;contains
o50;i151;contains
o51;i152;contains
o52;i153;contains
o52;i154;contains
