,failed delivery
2023-06-11 00:00:00+00:00,13.25
2023-06-18 00:00:00+00:00,10.1
2023-06-25 00:00:00+00:00,12.833333333333334
2023-07-02 00:00:00+00:00,20.5
2023-07-09 00:00:00+00:00,12.666666666666666
2023-07-16 00:00:00+00:00,14.875
2023-07-23 00:00:00+00:00,13.777777777777779
2023-07-30 00:00:00+00:00,9.142857142857142
2023-08-06 00:00:00+00:00,13.666666666666666
2023-08-13 00:00:00+00:00,16.0
2023-08-20 00:00:00+00:00,11.9
2023-08-27 00:00:00+00:00,13.285714285714286
2023-09-03 00:00:00+00:00,11.571428571428571
2023-09-10 00:00:00+00:00,14.666666666666666
2023-09-17 00:00:00+00:00,8.666666666666666
2023-09-24 00:00:00+00:00,14.666666666666666
2023-10-01 00:00:00+00:00,18.5
2023-10-08 00:00:00+00:00,22.0
2023-10-15 00:00:00+00:00,13.727272727272727
2023-10-22 00:00:00+00:00,15.2
2023-10-29 00:00:00+00:00,12.0
2023-11-05 00:00:00+00:00,17.333333333333332
2023-11-12 00:00:00+00:00,8.0
2023-11-19 00:00:00+00:00,10.875
2023-11-26 00:00:00+00:00,19.285714285714285
2023-12-03 00:00:00+00:00,14.5
2023-12-10 00:00:00+00:00,13.2
2023-12-17 00:00:00+00:00,14.6
2023-12-24 00:00:00+00:00,19.0
2023-12-31 00:00:00+00:00,12.666666666666666
2024-01-07 00:00:00+00:00,15.5
2024-01-14 00:00:00+00:00,14.0
2024-01-21 00:00:00+00:00,15.5
2024-01-28 00:00:00+00:00,14.25
2024-02-04 00:00:00+00:00,12.375
2024-02-11 00:00:00+00:00,13.0
2024-02-18 00:00:00+00:00,15.555555555555555
2024-02-25 00:00:00+00:00,16.0
2024-03-03 00:00:00+00:00,14.5
