,failed delivery_items
2023-06-11 00:00:00+00:00,5.75
2023-06-18 00:00:00+00:00,4.3
2023-06-25 00:00:00+00:00,5.666666666666667
2023-07-02 00:00:00+00:00,10.333333333333334
2023-07-09 00:00:00+00:00,5.666666666666667
2023-07-16 00:00:00+00:00,6.625
2023-07-23 00:00:00+00:00,6.222222222222222
2023-07-30 00:00:00+00:00,4.0
2023-08-06 00:00:00+00:00,6.666666666666667
2023-08-13 00:00:00+00:00,7.833333333333333
2023-08-20 00:00:00+00:00,5.2
2023-08-27 00:00:00+00:00,6.142857142857143
2023-09-03 00:00:00+00:00,4.857142857142857
2023-09-10 00:00:00+00:00,6.666666666666667
2023-09-17 00:00:00+00:00,3.3333333333333335
2023-09-24 00:00:00+00:00,6.666666666666667
2023-10-01 00:00:00+00:00,8.5
2023-10-08 00:00:00+00:00,11.5
2023-10-15 00:00:00+00:00,6.636363636363637
2023-10-22 00:00:00+00:00,6.9
2023-10-29 00:00:00+00:00,5.142857142857143
2023-11-05 00:00:00+00:00,8.166666666666666
2023-11-12 00:00:00+00:00,3.0
2023-11-19 00:00:00+00:00,4.5
2023-11-26 00:00:00+00:00,10.0
2023-12-03 00:00:00+00:00,6.75
2023-12-10 00:00:00+00:00,5.6
2023-12-17 00:00:00+00:00,7.2
2023-12-24 00:00:00+00:00,9.0
2023-12-31 00:00:00+00:00,5.444444444444445
2024-01-07 00:00:00+00:00,7.5
2024-01-14 00:00:00+00:00,6.5
2024-01-21 00:00:00+00:00,7.25
2024-01-28 00:00:00+00:00,6.625
2024-02-04 00:00:00+00:00,5.625
2024-02-11 00:00:00+00:00,6.0
2024-02-18 00:00:00+00:00,7.666666666666667
2024-02-25 00:00:00+00:00,7.25
2024-03-03 00:00:00+00:00,6.5
