,failed delivery_products
2023-06-11 00:00:00+00:00,5.5
2023-06-18 00:00:00+00:00,3.8
2023-06-25 00:00:00+00:00,5.166666666666667
2023-07-02 00:00:00+00:00,8.166666666666666
2023-07-09 00:00:00+00:00,5.0
2023-07-16 00:00:00+00:00,6.25
2023-07-23 00:00:00+00:00,5.555555555555555
2023-07-30 00:00:00+00:00,3.142857142857143
2023-08-06 00:00:00+00:00,5.0
2023-08-13 00:00:00+00:00,6.166666666666667
2023-08-20 00:00:00+00:00,4.7
2023-08-27 00:00:00+00:00,5.142857142857143
2023-09-03 00:00:00+00:00,4.714285714285714
2023-09-10 00:00:00+00:00,6.0
2023-09-17 00:00:00+00:00,3.3333333333333335
2023-09-24 00:00:00+00:00,6.0
2023-10-01 00:00:00+00:00,8.0
2023-10-08 00:00:00+00:00,8.5
2023-10-15 00:00:00+00:00,5.090909090909091
2023-10-22 00:00:00+00:00,6.3
2023-10-29 00:00:00+00:00,4.857142857142857
2023-11-05 00:00:00+00:00,7.166666666666667
2023-11-12 00:00:00+00:00,3.0
2023-11-19 00:00:00+00:00,4.375
2023-11-26 00:00:00+00:00,7.285714285714286
2023-12-03 00:00:00+00:00,5.75
2023-12-10 00:00:00+00:00,5.6
2023-12-17 00:00:00+00:00,5.4
2023-12-24 00:00:00+00:00,8.0
2023-12-31 00:00:00+00:00,5.222222222222222
2024-01-07 00:00:00+00:00,6.0
2024-01-14 00:00:00+00:00,5.5
2024-01-21 00:00:00+00:00,6.25
2024-01-28 00:00:00+00:00,5.625
2024-02-04 00:00:00+00:00,4.75
2024-02-11 00:00:00+00:00,5.0
2024-02-18 00:00:00+00:00,5.888888888888889
2024-02-25 00:00:00+00:00,6.75
2024-03-03 00:00:00+00:00,6.0
