,orders
2023-06-11 00:00:00+00:00,109
2023-06-18 00:00:00+00:00,114
2023-06-25 00:00:00+00:00,119
2023-07-02 00:00:00+00:00,120
2023-07-09 00:00:00+00:00,124
2023-07-16 00:00:00+00:00,133
2023-07-23 00:00:00+00:00,140
2023-07-30 00:00:00+00:00,143
2023-08-06 00:00:00+00:00,136
2023-08-13 00:00:00+00:00,140
2023-08-20 00:00:00+00:00,141
2023-08-27 00:00:00+00:00,144
2023-09-03 00:00:00+00:00,141
2023-09-10 00:00:00+00:00,137
2023-09-17 00:00:00+00:00,111
2023-09-24 00:00:00+00:00,110
2023-10-01 00:00:00+00:00,109
2023-10-08 00:00:00+00:00,112
2023-10-15 00:00:00+00:00,114
2023-10-22 00:00:00+00:00,119
2023-10-29 00:00:00+00:00,118
2023-11-05 00:00:00+00:00,113
2023-11-12 00:00:00+00:00,112
2023-11-19 00:00:00+00:00,111
2023-11-26 00:00:00+00:00,113
2023-12-03 00:00:00+00:00,113
2023-12-10 00:00:00+00:00,105
2023-12-17 00:00:00+00:00,119
2023-12-24 00:00:00+00:00,103
2023-12-31 00:00:00+00:00,111
2024-01-07 00:00:00+00:00,114
2024-01-14 00:00:00+00:00,118
2024-01-21 00:00:00+00:00,113
2024-01-28 00:00:00+00:00,106
2024-02-04 00:00:00+00:00,104
2024-02-11 00:00:00+00:00,107
2024-02-18 00:00:00+00:00,112
2024-02-25 00:00:00+00:00,117
2024-03-03 00:00:00+00:00,117
