,employees
2023-06-11 00:00:00+00:00,349
2023-06-18 00:00:00+00:00,374
2023-06-25 00:00:00+00:00,380
2023-07-02 00:00:00+00:00,384
2023-07-09 00:00:00+00:00,341
2023-07-16 00:00:00+00:00,378
2023-07-23 00:00:00+00:00,378
2023-07-30 00:00:00+00:00,376
2023-08-06 00:00:00+00:00,309
2023-08-13 00:00:00+00:00,324
2023-08-20 00:00:00+00:00,334
2023-08-27 00:00:00+00:00,376
2023-09-03 00:00:00+00:00,401
2023-09-10 00:00:00+00:00,425
2023-09-17 00:00:00+00:00,431
2023-09-24 00:00:00+00:00,387
2023-10-01 00:00:00+00:00,319
2023-10-08 00:00:00+00:00,359
2023-10-15 00:00:00+00:00,367
2023-10-22 00:00:00+00:00,356
2023-10-29 00:00:00+00:00,369
2023-11-05 00:00:00+00:00,337
2023-11-12 00:00:00+00:00,392
2023-11-19 00:00:00+00:00,365
2023-11-26 00:00:00+00:00,359
2023-12-03 00:00:00+00:00,322
2023-12-10 00:00:00+00:00,391
2023-12-17 00:00:00+00:00,333
2023-12-24 00:00:00+00:00,395
2023-12-31 00:00:00+00:00,375
2024-01-07 00:00:00+00:00,390
2024-01-14 00:00:00+00:00,341
2024-01-21 00:00:00+00:00,332
2024-01-28 00:00:00+00:00,322
2024-02-04 00:00:00+00:00,325
2024-02-11 00:00:00+00:00,311
2024-02-18 00:00:00+00:00,304
2024-02-25 00:00:00+00:00,338
2024-03-03 00:00:00+00:00,333
